preusuel,total,longevity,peak_year,id
HUGO,144273,30,2000,HUGO
JOËL,143661,28,1952,JOËL
MATHILDE,140354,43,1996,MATHILDE
AUDREY,140312,26,1984,AUDREY
RAPHAËL,139681,32,2018,RAPHAËL
BERNADETTE,138959,37,1949,BERNADETTE
HERVÉ,136301,26,1967,HERVÉ
MARIA,136276,41,1901,MARIA
PATRICE,136240,29,1961,PATRICE
GISÈLE,134732,38,1930,GISÈLE
ADRIEN,134010,42,1991,ADRIEN
FABRICE,132815,22,1973,FABRICE
CEDRIC,132508,23,1978,CEDRIC
ARNAUD,131999,29,1974,ARNAUD
EMMANUEL,131560,21,1971,EMMANUEL
SYLVAIN,131525,29,1980,SYLVAIN
LAETITIA,130855,25,1982,LAETITIA
MÉLANIE,130310,24,1986,MÉLANIE
GINETTE,130118,30,1930,GINETTE
ROLAND,129419,42,1947,ROLAND
ANNICK,129411,30,1947,ANNICK
ANAÏS,128941,32,1993,ANAÏS
NADINE,128752,25,1962,NADINE
BÉATRICE,127799,26,1963,BÉATRICE
MIREILLE,127360,38,1947,MIREILLE
QUENTIN,127167,27,1998,QUENTIN
EVELYNE,125621,24,1953,EVELYNE
VICTOR,125564,51,1998,VICTOR
FLORIAN,125241,26,1991,FLORIAN
HENRIETTE,125086,41,1920,HENRIETTE
DELPHINE,124316,22,1977,DELPHINE
LUDOVIC,123783,26,1977,LUDOVIC
MARION,123266,24,1989,MARION
DAMIEN,123195,29,1985,DAMIEN
BENOÎT,122450,28,1980,BENOÎT
ARTHUR,121853,29,2011,ARTHUR
JOSIANE,121411,31,1948,JOSIANE
LÉON,120822,42,1910,LÉON
MARTHE,119865,36,1908,MARTHE
THÉO,119494,27,2001,THÉO
KARINE,119470,17,1972,KARINE
MICHELLE,118899,31,1946,MICHELLE
MARINE,116896,21,1991,MARINE
JEREMY,116597,25,1987,JEREMY
FERNAND,116334,41,1920,FERNAND
JEAN-LUC,115539,22,1957,JEAN-LUC
ENZO,114508,23,2005,ENZO
ELISE,113861,34,2001,ELISE
NATHAN,113790,25,2010,NATHAN
ANNA,112531,41,2018,ANNA
ELIANE,110832,34,1949,ELIANE
MICHELINE,109509,30,1931,MICHELINE
LILIANE,109182,30,1947,LILIANE
AGNÈS,108980,19,1964,AGNÈS
XAVIER,108294,27,1972,XAVIER
FABIEN,108187,26,1984,FABIEN
VALENTIN,107935,31,1996,VALENTIN
MICKAEL,107262,24,1987,MICKAEL
LÉO,104682,26,2019,LÉO
CAROLE,104164,22,1970,CAROLE
JONATHAN,103848,20,1985,JONATHAN
SIMONNE,103755,37,1920,SIMONNE
LOÏC,103552,27,1987,LOÏC
EUGÈNE,103246,35,1908,EUGÈNE
FABIENNE,102784,22,1965,FABIENNE
SANDRA,102229,22,1973,SANDRA
BAPTISTE,102195,31,2000,BAPTISTE
JOCELYNE,101636,25,1954,JOCELYNE
ROSE,101507,44,2018,ROSE
PASCALE,100675,16,1961,PASCALE
ANNE-MARIE,96942,27,1954,ANNE-MARIE
JEAN-FRANÇOIS,96819,24,1964,JEAN-FRANÇOIS
GABRIELLE,95915,29,1905,GABRIELLE
MYRIAM,95509,18,1967,MYRIAM
INÈS,94688,25,2006,INÈS
CLARA,94601,24,2006,CLARA
AMANDINE,94503,25,1986,AMANDINE
AMÉLIE,94335,24,1991,AMÉLIE
SABRINA,94016,18,1981,SABRINA
JADE,93371,22,2009,JADE
JOËLLE,91506,20,1952,JOËLLE
JUSTINE,91133,23,1992,JUSTINE
ALEXANDRA,90847,25,1978,ALEXANDRA
ODILE,90201,29,1950,ODILE
GASTON,90105,35,1920,GASTON
MARYSE,89596,27,1950,MARYSE
FRANCINE,89417,25,1949,FRANCINE
LIONEL,89240,20,1971,LIONEL
MOHAMED,89210,18,2014,MOHAMED
SAMUEL,89063,30,1979,SAMUEL
JEAN-MARC,88722,20,1964,JEAN-MARC
HUGUETTE,88128,27,1930,HUGUETTE
SOLANGE,87501,35,1932,SOLANGE
YANNICK,87405,21,1972,YANNICK
ALINE,86708,1,1980,ALINE
CYRIL,86612,23,1973,CYRIL
MARIE-THÉRÈSE,86318,29,1946,MARIE-THÉRÈSE
TOM,85934,23,2006,TOM
JOSEPHINE,85815,28,1902,JOSEPHINE
RÉMI,85627,20,1987,RÉMI
SIMON,85265,32,1991,SIMON
JEAN-PAUL,84809,21,1951,JEAN-PAUL
JEAN-MICHEL,84327,19,1959,JEAN-MICHEL
